  [System Process]
 4 System
8388 30656 devenv.exe
27416 29964 PerfWatson2.exe
30656 4876 Microsoft.ServiceHub.Controller.exe
4876 10932 ServiceHub.VSDetouredHost.exe
4876 26448 ServiceHub.IdentityHost.exe
4876 30920 ServiceHub.SettingsHost.exe
4876 31120 ServiceHub.Host.netfx.x86.exe
30656 18424 vshost.exe
18424 27628 vcpkgsrv.exe
4876 20600 ServiceHub.IndexingService.exe
18424 31728 vcpkgsrv.exe
18424 7368 vcpkgsrv.exe
4876 31596 ServiceHub.IntellicodeModelService.exe
4876 32760 ServiceHub.Host.AnyCPU.exe
4876 9452 ServiceHub.TestWindowStoreHost.exe
18424 32536 vcpkgsrv.exe
3508 30468 audiodg.exe
12712 25124 vcpkgsrv.exe
7436 29420 vcpkgsrv.exe
20264 5188 opera.exe
20264 4380 opera.exe
20264 21564 opera.exe
13184 17644 vcpkgsrv.exe
11824 27468 SearchProtocolHost.exe
11824 31132 SearchFilterHost.exe
1232 28688 svchost.exe
1232 25568 svchost.exe
1404 13256 WmiPrvSE.exe
1232 24652 WmiApSrv.exe
16748 7852 MSBuild.exe
7852 31908 conhost.exe
1404 32548 RuntimeBroker.exe
30656 17824 VsDebugConsole.exe
17824 13984 conhost.exe
1404 29096 OpenConsole.exe
1404 25096 WindowsTerminal.exe
17824 24760 Main.exe.exe
16748 27956 VsDebugConsole.exe
27956 10096 conhost.exe
1404 9936 OpenConsole.exe
27956 22132 Collect.exe.exe
